comments,predicted_aspects
great food fun atmosphere amazing staff nnfood i have never had a bad mealnatmosphere fun decor clean environmentnstaff good at the door amazing wait staff nnthe only thing i would like to change is the wait time everyone wants to eat there so makes the wait long they need to open another location,"[{'term': 'Ġfun', 'polarity': 'pos'}, {'term': 'Ġamazing', 'polarity': 'pos'}, {'term': 'Ġn', 'polarity': 'pos'}, {'term': 'nat', 'polarity': 'pos'}, {'term': 'n', 'polarity': 'pos'}, {'term': 'Ġgood', 'polarity': 'pos'}, {'term': 'Ġamazing', 'polarity': 'neu'}, {'term': 'Ġstaff Ġn', 'polarity': 'pos'}, {'term': 'Ġtime Ġeveryone', 'polarity': 'neu'}, {'term': 'Ġlong', 'polarity': 'neu'}]"
this is some kick ass mexican food done right visiting from california we heard that this was a great new place we were not disappointed everything we ordered was fantastic we ordered one of each taco each done a different way my favorite was the chicken with pinon cream the corn appetizer and guacamole are must order items the pozole verdewow better than mine and mine is good i have to say coming from sf bay area the price for drinks was nuts fifteen plus for a margeritani did notice that the website reflects much more reasonable drink prices now though having said that this place is very unique and cool i loved the low rider day of the dead motif must stop place for mexican food in scottsdale,"[{'term': 'x ican Ġfood Ġdone', 'polarity': 'pos'}, {'term': 'Ġeach', 'polarity': 'pos'}, {'term': 'Ġwith Ġpin on Ġcream Ġthe', 'polarity': 'pos'}, {'term': 'Ġappet izer Ġand', 'polarity': 'pos'}, {'term': 'ac am ole Ġare', 'polarity': 'pos'}, {'term': 'z ole Ġver', 'polarity': 'pos'}, {'term': 'd ew ow', 'polarity': 'pos'}, {'term': 'Ġfor', 'polarity': 'neu'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'er it ani', 'polarity': 'pos'}, {'term': 'Ġprices', 'polarity': 'neu'}, {'term': 'Ġnow', 'polarity': 'neu'}]"
are you etching to do some art then greyfriars is the place for you i went into greyfriars art store looking for a birthday present for a creative friend but without knowing the first thing about art supplies the shop assistant jenny was very helpful and did not mind my asking for advice on different materials in fact she was very knowledgeable without being condescending it turns out there are a lot of different suppliesnthe shop sells everything an artist could need from paints to charcoals pencils to pens canvases and all sorts of paper she gave me a few different options after steering me away from my initial idea of charcoal hell already have it we agreed on ink pencils which to be honest were something i never knew existed mainly because of their patience and expertise greyfriars is to be commended especially if you are a beginner or if you are buying for someone else but also more than adequate for the accomplished artist from my perspective the shop made a great impression,[]
dont miss this little place they know how to make great tacos dont forget the homemade salsa a fan favorite,"[{'term': 'Ġdont', 'polarity': 'pos'}, {'term': 'Ġsalsa Ġa', 'polarity': 'pos'}]"
theres a point in your life when you think man im old it usually happens a few years after you say i am not going to stand in a line outside in the cold just to go drink somewhere trendy or as it was for me the day i finally dvrd 60 minutesnni was even tempted to give hokkaido 5 stars because it was just a really nice dining experience with our friends and their kids there is easy parking its loud and kidfriendly im not even sure if the table next to us noticed our wailing baby and the service was pretty attentive even though it was buffet style the staff was excellent about taking our plates and asking for refills and friendly to boot oh yeah and its byob there is a beer place up the road but it only sells it by the casennthe food itself isnt amazing there is a very good variety likely to appease your asian cravings there are some quite authentic chinese dishes too you typically find at dim sum there are chicken legs sticky rice with red bean seaweed saladsteamed pork buns and others you always have to assume the presence of other asians in the restaurant has to confer some legitimacy to the food in reality though the food was mostly okaynnlike i said in the beginning though as you get older your priorities change also for two adults to eat for less than 40 total is pretty costeffective they didnt charge our toddlers unlike some other places ahem grand concourse ahem for nearly 20 ahem to eat fries and cookies i can see this place being a goto get together spot with other friends with kidsnnwould i have preferred to eaten at eleven or meat potatoes or nola yes is that realistic with a party of four adults two 2year olds and two 34 month olds no and so as parents we have to place convenience expedience and a ifmykidthrowsatantrumwillanyonecare atmosphere above the tastiness of foodnnsometimes,"[{'term': 'Ġnext', 'polarity': 'neu'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġand', 'polarity': 'neu'}, {'term': 'inese Ġdishes Ġtoo', 'polarity': 'neu'}, {'term': 'Ġlegs Ġsticky Ġrice Ġwith Ġred Ġbean Ġseaw eed Ġsalad ste amed Ġpork Ġb uns Ġand', 'polarity': 'pos'}, {'term': 'Ġin', 'polarity': 'neu'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġand', 'polarity': 'neu'}, {'term': 'Ġi', 'polarity': 'neu'}, {'term': 'Ġpotatoes Ġor', 'polarity': 'neu'}, {'term': 'n', 'polarity': 'neu'}]"
i love this discount such friendly staff working in this 115 degree heat kudos to them i went in today to get a free tire rotation and get my tires checked before heading to flagstaff took less than 30 minutes he gave me an approx time of 35 mins walked next door to ross while i was waiting and went by so fast love that they have a mini fridge with water inside for customers this is my go to discount very friendly staff and the assistant manager scott was great to go through i highly suggest this location,"[{'term': 'Ġworking', 'polarity': 'neu'}, {'term': 'Ġinside', 'polarity': 'neu'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'Ġmanager Ġsc', 'polarity': 'pos'}]"
i tasted breadfruits sweet potato bread pudding for the first time at this years west of western and then a second third and fourth time until they asked me to stop eating all of their samples so when contemplating restaurants for my birthday dinner breadfruit was at the top of a very short list nnsince i work in wine i think breadfruits byob policy is fantastic ignore anyone on here who complains about the 5 corkage fee because the markup most restaurants put on a bottle of wine is well over five bucks usually its 23 times what they paid plus byob allows you to bring exactly what you want to complement your meal i would suggest a dry riesling gewurztraminer or an unoaked chardonnay nnthe menu is small but there were plenty of options even for vegetarians i would have happily eaten everything from the appetizers section but my dining pals and i set our sights on the plaintain avocado spring roll that is baked not fried i thought it was a creamy slice of deliciousness and the accompanying chutney did not disappoint my main dish was the bok choy and mashed sweet potatoalright ive spent about 5 minutes sitting here staring at the screen because i dont know how to describe how great my meal was heres an idea yum oh my gosh it was delicious each ingredient and seasoning was a perfect and direct complement to all the rest it was filling too i mean bok choy and mashed potatoes that sounds like two side dishes to a real meal but this meal is the real deal finally i went ahead and ordered the bread pudding again for dessert its just dense and lightly sweet and so satisfying mmmm nnbreadfruits staff were very friendly and attentive and daryl even came over to check on us at the end of the meal the dining room wasnt crowded but we were being very loud per usual and no one seemed to mind in the least what a great experience and delightful setting for a group of friends to celebrate the years most important date my birthday,"[{'term': 'f ruits Ġsweet Ġpotato Ġbread Ġpudding Ġfor', 'polarity': 'pos'}, {'term': 'Ġbread', 'polarity': 'neu'}, {'term': 'fruit Ġwas', 'polarity': 'neu'}, {'term': 'f ruits Ġby', 'polarity': 'neu'}, {'term': 'izers Ġsection', 'polarity': 'neu'}, {'term': 'ain Ġavocado Ġspring Ġroll Ġthat', 'polarity': 'pos'}, {'term': 'ut ney Ġdid', 'polarity': 'pos'}, {'term': 'Ġdish Ġwas', 'polarity': 'neu'}, {'term': 'ok Ġch oy Ġand', 'polarity': 'pos'}, {'term': 'Ġsweet Ġpotato al', 'polarity': 'pos'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġpotatoes Ġthat', 'polarity': 'pos'}, {'term': 'Ġpudding Ġagain', 'polarity': 'pos'}, {'term': 'Ġits', 'polarity': 'neu'}, {'term': 'f ruits Ġstaff', 'polarity': 'pos'}, {'term': 'Ġwere', 'polarity': 'neu'}, {'term': 'Ġroom Ġwas', 'polarity': 'pos'}]"
if youre in vegas japonais is a definite must this is hands down one of the best values for your money youre going to find right now nnon a recent trip to vegas a group of friends and i had dinner at japonais we specifically requested to be seated at the lounge and were happy with our decision because the atmosphere was vibrant and sophisticated yet very relaxed the perfect atmosphere for friends to enjoy a nice meal and a few cocktails nnwhile we were there we took advantage of the lounge dinner for 2 45 for 45 a friend and i shared 2 different appetizers had 1 each of the same entree and shared a dessert we also opted to take advantage of the lucky 7 lounge special which offered appetizers and cocktails for 7 a piece nni started off with the floating orchid cocktail which was really pleasant and complimentary to my meal nice presentation with an edible orchid on top nnto start with my friend and i shared the lobster spring rolls which were plated over a mango relish and served with a blood orange vinaigrette the spring rolls were tasty my only complaint was that you didnt really get much lobster flavor nnwe also got the spicy terriyaki chicken drumettes with scallion sauce they werent particularly spicy and the chicken was completely saturated with terriyaki sauce that the american palette is used to overly sweet with too much soy needless to say this wasnt my favorite part of the meal but other parts certainly made up for the disappointment of the wings nnthe softshell crab roll was among the better ive tried and the presentation was more interesting than your typical roll the maki had softshell crab on the inside but the legs were placed on the top super crunchy nnfor our entree we ordered the petite filet with uni butter served over truffled mashed potatoes and asparagus so good the filet was so tender its that great melt in your mouth sensation the potatoes were good as well plenty of truffle flavor though the texture seemed more like polenta to me and i would have preferred them to be lighter to compliment the steaknnwe actually werent aware that dessert came with out meal so that was a pleasant surprise for dessert we had the pumpkin cheesecake im not much of a cheesecake person because its heavy but i really enjoyed this interestingly the crust consisted of what we typically associate with a cheesecake it was dense and creamy and the filling actually consisted of this really light whipped pumpkin filling really excellent nnall in all we ended up spending about 40 a person and were completely stuffed at the end of the meal it was completely worth it japonais is one of the restaurants i had on the list id like to try im definitely likely to return for a happy hour since the value is incredible and the food is fairly enjoyable,"[{'term': 'Ġwas', 'polarity': 'pos'}, {'term': 'Ġfor', 'polarity': 'pos'}, {'term': 'Ġand', 'polarity': 'pos'}, {'term': 'izers Ġhad', 'polarity': 'pos'}, {'term': 'ree Ġand', 'polarity': 'pos'}, {'term': 'Ġwe', 'polarity': 'pos'}, {'term': 'izers Ġand', 'polarity': 'pos'}, {'term': 'Ġfor', 'polarity': 'pos'}, {'term': 'Ġor chid Ġcocktail Ġwhich', 'polarity': 'pos'}, {'term': 'Ġspring Ġrolls Ġwhich', 'polarity': 'pos'}, {'term': 'Ġrolls Ġwere', 'polarity': 'pos'}, {'term': 'Ġter ri y aki Ġchicken Ġdrum ettes Ġwith Ġsc allion Ġsauce Ġthey', 'polarity': 'pos'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġn', 'polarity': 'neu'}, {'term': 'shell Ġcrab Ġroll Ġwas', 'polarity': 'pos'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġwere', 'polarity': 'neu'}, {'term': 'ite Ġfile t Ġwith Ġun i Ġbutter Ġserved Ġover Ġtr uff led Ġmashed Ġpotatoes Ġand', 'polarity': 'pos'}, {'term': 't Ġwas', 'polarity': 'pos'}, {'term': 'Ġwere', 'polarity': 'neu'}, {'term': 'Ġseemed', 'polarity': 'neu'}, {'term': 'nn', 'polarity': 'neu'}, {'term': 'Ġcame', 'polarity': 'neu'}, {'term': 'Ġchees ecake Ġim', 'polarity': 'pos'}, {'term': 'ecake Ġperson', 'polarity': 'neu'}, {'term': 'Ġconsisted', 'polarity': 'pos'}, {'term': 'ecake Ġit', 'polarity': 'pos'}, {'term': 'Ġactually', 'polarity': 'pos'}, {'term': 'Ġpumpkin Ġfilling Ġreally', 'polarity': 'pos'}]"
spearmint rhinonlv westsidenfriday april 22 2011n5 amnnthis place was packed on an early friday morning 50 girls 100 guys 22 cover as i walked in i was greeted by a stable of girls wanting to give some lonely guys some companionship for 20 a dance i finally understand why guys like these types of places the girls approach the guys instead of the usual guy approach girl club scene the guys get the right to refuse the girls based on her physical attributes without remorse or public scrutiny if the girl is too short too tall too fat or not fat enough in the right places the guy simply can say nopennhowever this establishment was by far the most depressing place that i have ever been the floor was sticky the lights were too dim the people on both sides of the love seat were seedy all i kept thinking was how these girls started exploiting themselves for 20 at a time how does one become a strip club worker people always respond they make good money but i ask at what social moral or physical cost sure i could make a lot of money shooting people or selling drugs or even legally by convincing old ladies to donate their life savings to some halfass cause but again at what costnnlater i saw a 35 year old lady essentially begging patrons to allow her to dance for them for 20 it made me think sure the money is good when youre young but then you dont develop any other skills and you get old and less attractive and you earn less and less and then the club kicks you to the curb and then you get a graveyard shift waitressing job at the 24 hour dennys where you have to serve the same drunk guys that you gave lap dances to 10 years ago i am not religious but i pray my daughter never becomes an exotic dancer whom gross guys proposition for lewd and lascivious acts nnon a lighter note the bar was great with relatively cheap drinks the security guards left me alone since i was constantly drinking to avoid the great sadness in my heart for the sodom and gomorrah type behavior that i was witnessing i only spent a hundred dollars on admission and 10 cocktails and one 6 bottle of water 100 was nothing in comparison to some of my compatriots some of whom gave upwards to a 100 tip for a 20 dance,"[{'term': 'ressing Ġjob', 'polarity': 'neu'}, {'term': 'Ġwas', 'polarity': 'neu'}, {'term': 'Ġthe', 'polarity': 'neu'}, {'term': 'Ġguards', 'polarity': 'neu'}]"
my boyfriend raved and raved about winco and talked about his experiences going here often growing up in california when they finally built out here we ventured out to shop store front is large in a good location with ample parking shopping carts are deeper than normal which is smart store layout is somewhat of a maze in the beginning but is large inside with a lot of product prices are noticably lower on many items but not on everything it might take me a couple more trips to know what to get here to save money and what i can continue to buy at my neighborhood store staff is also very helpful and we used our spend 50 get 10 off coupon shoppers bag their own groceries so dont expect that when you shop here overall i liked winco and will return,"[{'term': 'Ġshopping', 'polarity': 'neu'}, {'term': 'Ġcarts Ġare', 'polarity': 'neu'}, {'term': 'Ġprices', 'polarity': 'neu'}, {'term': 'Ġare', 'polarity': 'neu'}]"
